14
300.00	716.07
400.00	791.07
500.00	833.57
600.00	862.50
700.00	885.71
800.00	905.36
900.00	923.21
1000.00	940.00
1100.00	956.07
1200.00	971.43
1300.00	986.79
1400.00	1001.79
1500.00	1016.43
1600.00	1031.43
9
300	148
400	98.9
500	76.2
600	61.9
800	42.2
1000	31.2
1200	25.7
1400	23.5
1600	22.1
24
300.00	1040.00
400	1044.64
500	1056.43
600	1075.00
700	1098.57
800	1122.86
900	1146.07
1000	1167.50
1100	1187.14
1200	1204.29
1300	1219.64
1400	1232.86
1500	1244.64
1600	1254.64
1700	1281.79
1800	1271.07
1900	1278.21
2000	1285.00
2100	1290.36
2200	1295.36
2300	1299.64
2400	1303.93
2500	1307.86
2600	1311.0714285714
16
300	0.02604
400	0.03271
500	0.03896
600	0.04501
700	0.05099
800	0.05691
900	0.06274
1000	0.06844
1100	0.07396
1200	0.07932
1300	0.08456
1400	0.08968
1500	0.0947
1600	0.09962
1800	0.10906
2000	0.11826
28
300	713
400	788.5714285714
500	860.7142857143
600	927.1428571429
700	987.1428571429
800	1041.4285714286
900	1090
1000	1132.1428571429
1100	1170
1200	1202.1428571429
1300	1230
1400	1253.5714285714
1500	1272.8571428572
1600	1289.2857142857
1700	1302.1428571429
1800	1312.1428571429
1900	1319.2857142857
2000	1325
2100	1329.2857142857
2200	1331.4285714286
2300	1332.8571428572
2400	1334.2857142857
2500	1335
2600	1335.7142857143
2700	1337.1428571429
2800	1339.2857142857
2900	1342.8571428572
3000	1347.8571428572
3
400	30.1
1273	15.88
1473	14.21
18
300	671.40363999
400	850.411368736
500	962.1042134131
600	1040.1396160559
700	1097.4819247071
800	1141.1119421591
900	1175.7666417352
1000	1204.9364248317
1100	1228.870605834
1200	1249.5636998255
1300	1267.2650211917
1400	1282.722513089
1500	1296.6841186737
1600	1309.1498379457
1700	1320.6182996759
1800	1331.0895038644
1900	1340.5634505111
2000	1349.5387683869
11
300	4.29
400	5.41
500	5.68
600	5.75
700	5.72
800	5.65
900	5.61
1000	5.59
1100	5.67
1200	5.78
1300	5.91
