3	
300.00	716.07
1000.00	940.00
1600.00	1031.43
3	
300	148
1000	31.2
1600	22.1
3	
300.00	1040.00
1000	1167.50
2000	1285.00
3	
300	0.02604
1000	0.06844
2000	0.11826
4	
300	713
1100	1170
2000	1325
3000	1347.8571428571
3	
400	30.1
1273	15.88
1473	14.21
3	
300	671.40363999
1000	1204.9364248317
2000	1349.5387683869
3	
300	4.29
1000	5.59
1300	5.91

